Experiment,Balanced Acc,ROC AUC,Sensitivity,Specificity,Sensitivity_flipped,Specificity_flipped,F1 Score,F1_flipped,TP,FP,FN,TN,TP_flipped,FP_flipped,FN_flipped,TN_flipped
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped_BrightnessFilter,0.9302,0.9735,0.9085,0.9519,0.9519230769221616,0.9085244267198178,0.9514,0.3473684210226765,3645,5,367,99,99,367,5,3645
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped,0.9196,0.973,0.9257,0.9135,0.9134615384606601,0.9257228315054604,0.9603,0.3822937625422053,3714,9,298,95,95,298,9,3714
clean_gradable_swinv2_resolution512_oversample50_cropped,0.90785,0.9518,0.9311,0.8846,0.884615384614534,0.9311122244488744,0.9628,0.39065817406308845,3717,12,275,92,92,275,12,3717
clean_gradable_swinv2_resolution512_oversample50,0.901,0.9555,0.9366,0.8654,0.8653846153837833,0.9366232464929625,0.9655,0.40268456372250305,3739,14,253,90,90,253,14,3739
clean_gradable_swinv2_resolution1024_oversample50_moderateAug,0.8925,0.9555,0.9581,0.8269,0.8269230769222818,0.9581256231305842,0.9764,0.48044692733281114,3844,18,168,86,86,168,18,3844
clean_gradable_swinv2_resolution1024_oversample50_cropped,0.89185,0.9607,0.9472,0.8365,0.8365384615376572,0.9471585244266962,0.9707,0.4317617865619886,3800,17,212,87,87,212,17,3800
clean_gradable_swinv2_resolution1024_oversample50,0.88965,0.9569,0.9524,0.8269,0.8269230769222818,0.9523928215353701,0.9734,0.45144356951387776,3821,18,191,86,86,191,18,3821
clean_gradable_swinv2_resolution1024_oversample50_moderateAug_,0.8886499999999999,0.9498,0.9215,0.8558,0.8557692307684079,0.9214855433698673,0.9573,0.35039370075470117,3697,15,315,89,89,315,15,3697
clean_gradable_swinv2_resolution1024_oversample50_BrightnessFilter,0.8874,0.9513,0.9479,0.8269,0.8269230769222818,0.9479062811565068,0.971,0.43107769419683045,3803,18,209,86,86,209,18,3803
clean_gradable_swinv2_resolution1024_oversample50_,0.88715,0.9554,0.9474,0.8269,0.8269230769222818,0.9474077766699665,0.9708,0.4289276807593735,3801,18,211,86,86,211,18,3801
clean_gradable_swinv2_resolution384_oversample50_cropped,0.8855,0.9538,0.896,0.875,0.8749999999991587,0.8960420841683142,0.9436,0.2983606557093222,3577,13,415,91,91,415,13,3577
clean_gradable_swinv2_resolution1024_oversample50_cropped_,0.8832,0.9484,0.9202,0.8462,0.8461538461530326,0.9202392821535165,0.9565,0.34374999996749267,3692,16,320,88,88,320,16,3692
clean_gradable_swinv2_resolution384_oversample50,0.875,0.9443,0.9231,0.8269,0.8269230769222818,0.9230961923847464,0.9578,0.34607645871928233,3685,18,307,86,86,307,18,3685
clean_gradable_swinv2_resolution384_oversample50_strongAug,0.8633,0.9405,0.9381,0.7885,0.7884615384607803,0.9381262525049865,0.9653,0.37875288679935354,3745,22,247,82,82,247,22,3745
clean_gradable_swinv2_resolution384,0.5569500000000001,0.9459,0.9985,0.1154,0.11538461538450444,0.9984969939879509,0.9879,0.19672131144993282,3986,92,6,12,12,6,92,3986
clean_gradable_swinv2_resolution512,0.5039,0.721,0.9982,0.0096,0.00961538461537537,0.9982464929859469,0.9864,0.017857142843845663,3985,103,7,1,1,7,103,3985
clean_gradable_swinv2_resolution1024,0.5,0.542,1.0,0.0,0.0,0.999999999999975,0.9872,0.0,4012,104,0,0,0,0,104,4012
referable_GPU1_experiment,0.5,0.9003,1.0,0.0,0.0,0.9999999999999749,0.9871,0.0,3992,104,0,0,0,0,104,3992
