Experiment,Balanced Acc,F1 Score,Epoch,ROC AUC,Sensitivity,Specificity,TP,FP,FN,TN
cropped1024_cropped_centered_wt_allR_1,0.95105,0.985,17,0.986,0.9719,0.9302,3872,6,112,80
cropped1024_cropped_centered_wt_allR_3,0.94505,0.9854,24,0.9848,0.9734,0.9167,3847,9,105,99
cropped1024_cropped_centered_allR_3,0.9364,0.9858,17,0.9826,0.9747,0.8981,3852,11,100,97
cropped1024_cropped_centered_allR_1,0.9362,0.9814,13,0.9839,0.9654,0.907,3846,8,138,78
cropped1024_cropped_centered_wt_allR_5,0.93325,0.9862,24,0.9889,0.9754,0.8911,3813,11,96,90
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped_BrightnessFilter,0.9301999999999999,0.9514,8,0.9735,0.9085,0.9519,3645,5,367,99
cropped1024_cropped_centered_allR_5,0.92195,0.9845,16,0.9843,0.9726,0.8713,3802,13,107,88
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped,0.9196,0.9603,11,0.973,0.9257,0.9135,3714,9,298,95
clean_gradable_swinv2_resolution512_oversample50_cropped,0.90785,0.9628,6,0.9518,0.9311,0.8846,3717,12,275,92
cropped1024_cropped_centered_wt_allR_4,0.9062,0.9835,17,0.9821,0.9717,0.8407,3952,18,115,95
clean_gradable_swinv2_resolution512_oversample50,0.901,0.9655,23,0.9555,0.9366,0.8654,3739,14,253,90
cropped1024_cropped_centered_allR_4,0.8967499999999999,0.9826,17,0.9824,0.9705,0.823,3947,20,120,93
clean_gradable_swinv2_resolution1024_oversample50_moderateAug,0.8925,0.9764,15,0.9555,0.9581,0.8269,3844,18,168,86
clean_gradable_swinv2_resolution1024_oversample50_cropped,0.89185,0.9707,15,0.9607,0.9472,0.8365,3800,17,212,87
clean_gradable_swinv2_resolution1024_oversample50,0.88965,0.9734,14,0.9569,0.9524,0.8269,3821,18,191,86
clean_gradable_swinv2_resolution1024_oversample50_moderateAug_,0.8886499999999999,0.9573,15,0.9498,0.9215,0.8558,3697,15,315,89
clean_gradable_swinv2_resolution1024_oversample50_BrightnessFilter,0.8874,0.971,16,0.9513,0.9479,0.8269,3803,18,209,86
clean_gradable_swinv2_resolution1024_oversample50_,0.88715,0.9708,16,0.9554,0.9474,0.8269,3801,18,211,86
clean_gradable_swinv2_resolution384_oversample50_cropped,0.8855,0.9436,2,0.9538,0.896,0.875,3577,13,415,91
clean_gradable_swinv2_resolution1024_oversample50_cropped_,0.8832,0.9565,12,0.9484,0.9202,0.8462,3692,16,320,88
cropped1024_cropped_centered_wt_allR_2,0.8826499999999999,0.9872,17,0.9801,0.9803,0.785,3934,23,79,84
clean_gradable_swinv2_resolution384_oversample50,0.875,0.9578,6,0.9443,0.9231,0.8269,3685,18,307,86
cropped1024_cropped_centered_allR_2,0.8705499999999999,0.9887,10,0.9796,0.9841,0.757,3949,26,64,81
clean_gradable_swinv2_resolution384_oversample50_strongAug,0.8633,0.9653,20,0.9405,0.9381,0.7885,3745,22,247,82
cropped1024_baseline,0.57655,0.9888,16,0.976,0.9993,0.1538,4009,88,3,16
clean_gradable_swinv2_resolution384,0.5569500000000001,0.9879,8,0.9459,0.9985,0.1154,3986,92,6,12
clean_gradable_swinv2_resolution512,0.5039,0.9864,0,0.721,0.9982,0.0096,3985,103,7,1
clean_gradable_swinv2_resolution1024,0.5,0.9872,0,0.542,1.0,0.0,4012,104,0,0
referable_GPU1_experiment,0.5,0.9871,0,0.9003,1.0,0.0,3992,104,0,0
cropped1024_cropped_allR,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0
cropped1024_cropped_wt_allR,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0
