Experiment,ROC AUC,F1 Score,Epoch,Sensitivity,Specificity,TP,FP,FN,TN,Balanced Acc
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped,0.9743,0.9635,16,0.9322,0.8942,3740,11,272,93,0.9132
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped_BrightnessFilter,0.9742,0.955,15,0.9158,0.9231,3674,8,338,96,0.91945
clean_gradable_swinv2_resolution1024_oversample50_cropped,0.9614,0.9742,16,0.9541,0.8173,3828,19,184,85,0.8856999999999999
clean_gradable_swinv2_resolution512_oversample50_cropped,0.9607,0.9674,11,0.9399,0.875,3752,13,240,91,0.90745
clean_gradable_swinv2_resolution512_oversample50,0.9597,0.9614,6,0.9294,0.8462,3710,16,282,88,0.8877999999999999
clean_gradable_swinv2_resolution384_oversample50_cropped,0.9583,0.9671,3,0.9411,0.7981,3757,21,235,83,0.8696
clean_gradable_swinv2_resolution1024_oversample50,0.957,0.9753,16,0.9564,0.8173,3837,19,175,85,0.88685
clean_gradable_swinv2_resolution384,0.9563,0.9871,8,1.0,0.0,3992,104,0,0,0.5
clean_gradable_swinv2_resolution1024_oversample50_cropped_,0.9562,0.9859,8,0.9833,0.5577,3945,46,67,58,0.7705
clean_gradable_swinv2_resolution1024_oversample50_moderateAug,0.9561,0.9782,16,0.9619,0.8173,3859,19,153,85,0.8896
clean_gradable_swinv2_resolution1024_oversample50_,0.9554,0.9708,16,0.9474,0.8269,3801,18,211,86,0.88715
clean_gradable_swinv2_resolution1024_oversample50_BrightnessFilter,0.9513,0.971,16,0.9479,0.8269,3803,18,209,86,0.8874
clean_gradable_swinv2_resolution384_oversample50,0.9511,0.9709,4,0.9499,0.7404,3792,27,200,77,0.84515
clean_gradable_swinv2_resolution1024_oversample50_moderateAug_,0.9506,0.9617,16,0.93,0.8462,3731,16,281,88,0.8881
clean_gradable_swinv2_resolution512,0.9466,0.9871,9,1.0,0.0,3992,104,0,0,0.5
clean_gradable_swinv2_resolution384_oversample50_strongAug,0.9405,0.9653,20,0.9381,0.7885,3745,22,247,82,0.8633
clean_gradable_swinv2_resolution1024,0.911,0.9872,8,1.0,0.0,4012,104,0,0,0.5
referable_GPU1_experiment,0.9003,0.9871,0,1.0,0.0,3992,104,0,0,0.5
