Experiment,ROC AUC,F1 Score,Epoch,Sensitivity,Specificity,TP,FP,FN,TN,Balanced Acc
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped,0.9743,0.9635,16,0.9322,0.8942,3740,11,272,93,0.9132
clean_gradable_swinv2_resolution1024_oversample50_RetinaCropped_BrightnessFilter,0.9742,0.955,15,0.9158,0.9231,3674,8,338,96,0.91945
clean_gradable_swinv2_resolution384,0.9563,0.9871,8,1.0,0.0,3992,104,0,0,0.5
clean_gradable_swinv2_resolution1024_oversample50_cropped_,0.9562,0.9859,8,0.9833,0.5577,3945,46,67,58,0.7705
clean_gradable_swinv2_resolution1024_oversample50_moderateAug,0.9561,0.9782,16,0.9619,0.8173,3859,19,153,85,0.8896
clean_gradable_swinv2_resolution1024_oversample50_,0.9554,0.9708,16,0.9474,0.8269,3801,18,211,86,0.88715
clean_gradable_swinv2_resolution1024_oversample50_BrightnessFilter,0.9513,0.971,16,0.9479,0.8269,3803,18,209,86,0.8874
clean_gradable_swinv2_resolution1024_oversample50_moderateAug_,0.9506,0.9617,16,0.93,0.8462,3731,16,281,88,0.8881
clean_gradable_swinv2_resolution512,0.9466,0.9871,9,1.0,0.0,3992,104,0,0,0.5
clean_gradable_swinv2_resolution384_oversample50_strongAug,0.9405,0.9653,20,0.9381,0.7885,3745,22,247,82,0.8633
clean_gradable_swinv2_resolution1024,0.911,0.9872,8,1.0,0.0,4012,104,0,0,0.5
referable_GPU1_experiment,0.9003,0.9871,0,1.0,0.0,3992,104,0,0,0.5
