model,type,balanced_accuracy,sensitivity,specificity,precision,f1_score,auc,TP,FP,FN,TN
Model 1,Individual,0.9511 / 0.7899 / -,0.9302 / 0.5897 / -,0.9719 / 0.9901 / -,0.4739 / 0.5897 / -,0.6279 / 0.5897 / -,0.0140 / 0.1255 / -,100 / 23 / -,111 / 16 / -,8 / 16 / -,3841 / 1596 / -
Model 2,Individual,0.8827 / 0.8438 / -,0.7850 / 0.7179 / -,0.9803 / 0.9696 / -,0.5215 / 0.3636 / -,0.6267 / 0.4827 / -,0.0199 / 0.1128 / -,85 / 28 / -,78 / 49 / -,23 / 11 / -,3874 / 1563 / -
Model 3,Individual,0.9450 / 0.8337 / -,0.9167 / 0.6923 / -,0.9734 / 0.9752 / -,0.4853 / 0.4030 / -,0.6346 / 0.5094 / -,0.0152 / 0.1006 / -,99 / 27 / -,105 / 40 / -,9 / 12 / -,3847 / 1572 / -
Model 4,Individual,0.9062 / 0.8087 / -,0.8407 / 0.6410 / -,0.9717 / 0.9764 / -,0.4483 / 0.3968 / -,0.5848 / 0.4902 / -,0.0179 / 0.1075 / -,91 / 25 / -,112 / 38 / -,17 / 14 / -,3840 / 1574 / -
Model 5,Individual,0.9333 / 0.8487 / -,0.8911 / 0.7179 / -,0.9754 / 0.9795 / -,0.4839 / 0.4590 / -,0.6272 / 0.5600 / -,0.0111 / 0.1052 / -,90 / 28 / -,96 / 33 / -,11 / 11 / -,3813 / 1579 / -
Ensemble (average),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 28 / 29,- / 30 / 53,- / 11 / 10,- / 1582 / 1559
Ensemble (confidence),Ensemble,- / 0.8494 / 0.8550,- / 0.7179 / 0.7436,- / 0.9808 / 0.9665,- / 0.4746 / 0.3494,- / 0.5714 / 0.4754,- / 0.1014 / 0.1014,- / 28 / 29,- / 31 / 54,- / 11 / 10,- / 1581 / 1558
Ensemble (logit),Ensemble,- / 0.8497 / 0.8550,- / 0.7179 / 0.7436,- / 0.9814 / 0.9665,- / 0.4828 / 0.3494,- / 0.5773 / 0.4754,- / 0.1025 / 0.1025,- / 28 / 29,- / 30 / 54,- / 11 / 10,- / 1582 / 1558
Ensemble (majority_60),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 28 / 29,- / 30 / 53,- / 11 / 10,- / 1582 / 1559
Ensemble (majority_80),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 28 / 29,- / 30 / 53,- / 11 / 10,- / 1582 / 1559
Ensemble (max_confidence),Ensemble,- / 0.8237 / 0.8516,- / 0.6667 / 0.7436,- / 0.9808 / 0.9597,- / 0.4561 / 0.3085,- / 0.5417 / 0.4361,- / 0.1083 / 0.1083,- / 26 / 29,- / 31 / 65,- / 13 / 10,- / 1581 / 1547
Ensemble (median),Ensemble,- / 0.8481 / 0.8563,- / 0.7179 / 0.7436,- / 0.9783 / 0.9690,- / 0.4444 / 0.3671,- / 0.5490 / 0.4915,- / 0.1088 / 0.1088,- / 28 / 29,- / 35 / 50,- / 11 / 10,- / 1577 / 1562
Ensemble (unanimous),Ensemble,- / 0.8497 / 0.8554,- / 0.7179 / 0.7436,- / 0.9814 / 0.9671,- / 0.4828 / 0.3537,- / 0.5773 / 0.4793,- / 0.1013 / 0.1013,- / 28 / 29,- / 30 / 53,- / 11 / 10,- / 1582 / 1559
